,descr,netname
1097,TSI fuer Deutsche Bundesbank|,BUBA-BACKUP-IN-NET
1101,TSI fuer Deutsche Bundesbank|,BUBA-BACKUP-IN-NET20
1102,TSI fuer Deutsche Bundesbank|,CSO-HANNOVER-HANNOVER-NET
1103,Bundesanzeiger Verlagsgesellschaft mbH|Amsterdamer Str. 192|D-50735 Koeln|,DE-BANZ-TEST1
1104,TSI fuer Deutsche Bundesbank|,BUBA-BACKUP-IN-NET15
1111,Kulturstiftung des Bundes|,HL-KULTURSTIFT
1112,IT-Innerebner GmbH|Bundesstraße 27|A - 6063 Innsbruck/Neu Rum|,IT-Innerebner_GmbH-IPv4-net
1117,HC Leipzig Bundesliga GmbH|,HL-HCL
1118,Joh.Heinr. von Thuenen-InstitutBundesforschungsinst.f. Laendl.|,JOH-HEINR-VON-THUENEN-INSTITUT
1119,TSI fuer Deutsche Bundesbank|,BUBA-BACKUP-IN-NET13
1120,This space is statically assigned|AWO Bundesverband e.V.|Bluecherstr. 62-63|10961 Berlin|,AWO-BUND-NET
1122,TSI fuer Deutsche Bundesbank|,BUBA-BACKUP-IN-NET19
1129,Freizeit-Einrichtungen GmbH & Co. KG|Bundesstr. 107|20144 Hamburg|,FREIZEIT-EINRICHTUNG-NET
1131,Bundesverband privater Anbieter soz. D. e.V.|Friedrichstr. 148|10117 Berlin|,BUNDPRIVANBIETER-NET
1140,Bildungszentrum der Bundesfinanzverwaltung Muenster|,BWZ-VIT-MUENSTER-NET
1155,Deutsche Telekom AG Projekt Hotspot Inside WLAN|,DTAG-PROJEKT-HOTSPOT-BUNDESPRESSEKONFERENZ-BERLIN-NET
1161,Gemeinsamer Bundesausschuss nach  91 SGB V|,GEMEINSAMER-BUNDESAUSSCHUSS-BERLIN-NET3
1163,Bundesverband Information und Beratung fuer|,QSC-CUSTOMER-6270091-865960
1164,GdW Bundesverband deutscher Wohnungsunternehmen e.V.|,GDW-GESAMTVERBAND-DER-WOHNUNGSWIRTSCHAFT-BERLIN-NET
1169,DEUTSCHE TELEKOM AG|,DTAG-WAN-BUNDESVEREINIGUNG-LEBENSHILFE
1179,ARBEITSGEMEINSCHAFT DER EVANG. JUGEND IN DER BUNDESREPUBLIK DEUTSCHLAND E.V. ( AEJ)|,NET-DE-AEJ-ARBEITSGEMEINSCHAFT
1180,Haehnel-EDV i. Hause d. Bundeszahnaerztekammer|,QSC-CUSTOMER-5778334-897392
1181,REFA Bundesverband|,REFA-BUNDESVERBAND-DORTMUND-NET
1204,TSI fuer Deutsche Bundesbank|,BUBA-BACKUP-IN-NET9
1206,TSI fuer Deutsche Bundesbank|,BUBA-BACKUP-IN-NET11
1216,Bundesverband Deutscher Volks- und Betriebswirte e.V.|,BDVB-20110109
1217,pro familia - Bundesverband|,PRO-FAMILIA-BUNDESVERBAND
1223,KULTURVERANSTALTUNGEN DES BUNDES IN BERLIN GMBH|,NET-DE-KULTURVERANSTALTUNGEN-DES-BUNDES-IN-BERLIN-GMBH
1230,Bundesverband Audiovisuelle Medien e.V.|,QSC-CUSTOMER-5936943-955523
1231,BUNDESVERBAND DER DEUTSCHEN LUFTVERKEHRSWIRTSCHAFT E.V.|,NET-DE-BUNDESVERBAND-DER-DEUTSCHEN-LUFTVERKEHRSWIRTSCHAFT-EV
1232,AOK BUNDESVERBAND|,NET-DE-AOK
1236,Bundesverband Deutscher Pathologen e.V.|,QSC-CUSTOMER-6019937-864135
1239,TSI fuer Deutsche Bundesbank|,DEUTSCHE-BUNDESBANK-MAGDEBURG-NET
1241,TSI fuer Deutsche Bundesbank|,BUBA-BACKUP-IN-NET
1243,TSI fuer Deutsche Bundesbank|,BUNDESBANK-HV-BERLIN-NET
1245,Bundesverband Kraft-Waerme-Kopplung e.V.|,PROWIB-BERLIN-NET
1246,TSI fuer Deutsche Bundesbank|,DEUTSCHE-BUNDESBANK-KARLSRUHE-NET
1251,TSI fuer Deutsche Bundesbank|,BUNDESBANK-FACHHOCHSCHULE-HACHENBURG-NET
1252,TSI fuer Deutsche Bundesbank|,DEUTSCHE-BUNDESBANK-HAMBURG-NET
1254,Bundeszahnaerztekammer e.V.|,QSC-CUSTOMER-2290907-813063
1255,TSI fuer Deutsche Bundesbank|,E-SHELTER-FRANKFURT-NET3
1256,TSI fuer Deutsche Bundesbank|,BUNDESBANK-BERLIN-NET
1259,Allgemeiner Deutscher Fahrrad-Club Bundesv. Brm. (ADFC) e.V.|,ADFC-BUNDESV-BRM-BERLIN-NET
1267,TSI fuer DuMont Systems GmbH &CO KG|,BUNDESANZEIGER-NET
1276,Bundesnotarkammer|Mohrenstrasse 34|D-10117 Berlin|,BNOTK-NET
1289,Bundesanzeiger Verlag GmbH|,BUNDESANZEIGER-VERLAG-GMBH
1290,"BDEW Bundesverband der Energie-, und Wasserwirtschaft e.V.|Normannenweg 34|D-20537 Hamburg|GERMANY|",BDEW-NET
1291,Bundesfinanzdirektion Nord|,SERVICE-CENTER-ROSTOCK-AUSSENSTELLE-POMMELLEN-NADRENSEE-NET
1293,Kassenaerztliche Bundesvereinigung|,KBV-NET
1298,Bundesfinanzdirektion Nord|,GZDHHNET-NET2
1299,TSI fuer CDU-Bundesgeschaefts- st. Konrad-Adenauer-Haus CDU|,UNION-BETRIEBS-RHEINBACH-NET
1305,Kassenaerztliche Bundesvereinigung|,KBV-NET
1307,Bundesgartenschau Heilbronn 2019 GmbH|Edisonstr. 25|D-74076 Heilbronn|GERMANY|Doku per Script Oktober 2015|,BUNDESGA-NET
1321,Hospitality Services Deutschland Plus GmbH|Bundesallee 36|D- 10717 Berlin|GERMANY|,HOSPITA-NET
1327,TSI fuer Deutsche Bundesbank|,BUNDESBANK-ZENTRALE-FRANKFURT-NET
1331,Bundesverband Deutscher Vermoegensberater e.V.|Wilhelm-Leuschner-Strasse 17-19|60329 Frankfurt|,BDV_NET
1333,TSI fuer Grenzschutzpraesidium Nord|,BUNDESPOLIZEIDIREKTION-BAD-BRAMSTEDT-NET
1341,Bundesverband Deutscher Vermoegensberater e.V.|Wilhelm-Leuschner-Strasse 17-19|60329 Frankfurt|,BDV_NET
1342,Bundesakademie fuer Kirche|Heinrich-Mann-Str. 29|D-13156 Berlin|GERMANY|,BUNDESAK-NET
1343,Gaea e.V. Vereinigung oekologischer Landbau Bundesverband|Brockhausstr. 4|D-1099 Dresden|GERMANY|,GAEA-NET
1360,TSI fuer Deutsche Bundesbank|,BUBA-BACKUP-IN-NET16
1361,TSI fuer Deutsche Bundesbank|,BUBA-BACKUP-IN-NET18
1371,BUNDESZAHNARZTEKAMMER ARBEITSGEMEINSCHAFT DER DEUTSCHEN ZAHNARZTEKAMMERN E.V.|,NET-DE-BUNDESZAHNARZTEKAMMER-ARBEITSGEMEINSCHAFT
1382,Bundesverband Deutscher Versicherungskaufleute e.V|,QSC-CUSTOMER-510985-985490
1384,BDKJ-Bundesstelle e.V. Buero Berlin|,QSC-CUSTOMER-33195-1016626
1385,BDEW Bundesverband der Energie- und Wasserwirtschaft e.V.|,BDEW-BERLIN-NET
1386,Bundesan. f. Geow. u. Rohstoffe (BGR) Geozentrum|,QSC-CUSTOMER-6540148-1017932
1387,Bundesfinanzverwaltung|,QSC-CUSTOMER-2762790-993705
1388,Bundesverband Selbsthilfe Koerperbehinderter e.V.|,QSC-CUSTOMER-6132086-981703
1389,HBL Handball-Bundesliga GmbH|,HL-HBL
1392,Telekom Deutschland GmbH CO Bereich BV|,BUNDESSTADT-HOTSPOT-BONN-NET
1396,Deutscher Bundesverband fuer Logopaedie e.V.|,DEUTSCHER-BUNDESVERBAND-FUER-LOGOPAEDIE-FRECHEN-NET
1399,Bundesfinanzdirektion Nord|,BUNDESFINANZDIREKTION-NORD-ROSTOCK-NET
1400,Bundesfinanzdirektion Nord|,BUNDESFINANZDIREKTION-NORD-HAMBURG-NET
1405,Johanniter-Unfall-Hilfe e.V. Bundesgeschaeftstelle|Jägerstr. 64|D-26121 Oldenburg|GERMANY|,JOHAEV-NET
1407,TSI fuer BDH Bundesverband Rehabilitation e.V.|,BDH-KLINIKEN-BRAUNFELS-NET
1409,FDP-Bundesgeschaeftsstelle|,TEMP-TO-20180107-STAATSTHEATER-STUTTGART-NET
1411,Bundesarbeitgeberverband Chemie e.V.|,BUNDESARBEITGEBERVERBANDCHEMIE-WIESBADEN-NET
1412,Bundesverband der Freien Berufe e.V. BFB|,QSC-CUSTOMER-5355252-1025833
1413,Bundesan. f. Geow. u. Rohstoffe (BGR) Geozentrum|,QSC-CUSTOMER-6540148-1017932
1414,Bundesverband Deutscher Wach-|,QSC-CUSTOMER-33195-1006287
1415,Bundesverein der dt Ernaehrungsindustrie|,BUNDESVEREIN-DER-DT-ERNAEHRUNGSINDUSTRIE-BERLIN-NET
1416,IG BAUEN AGRAR UMWELT BUNDESVORSTAND|,NET-DE-IG-BAUEN-AGRAR-UMWELT-BUNDESVORSTAND
1418,DFL Digital Sports GmbH|http://www.bundesliga.de|,DFL-NET1
1419,DFL Digital Sports GmbH|http://www.bundesliga.de|,DFL-NET1
1422,Bundesverband Deutscher Wach-|,QSC-CUSTOMER-33195-1030547
1423,Bundesverband der Hoergeraete-Industrie e.V.|,QSC-CUSTOMER-6861278-1031042
1424,Bundesverband der Hoergeraete-Industrie e.V.|,QSC-CUSTOMER-6861278-1031042
1425,FDP-Bundesgeschaeftsstelle|,STATION-BERLIN-NET
1426,FDP-Bundesgeschaeftsstelle|,TEMP-TO-20180513-STATION-BERLIN-NET2
1429,Bundesverband Deutscher Fertigbau|,BUNDESVERBAND-DEUTSCHER-FERTIGBAU-BADHONNEF-NET
1430,BVMW - Bundesverband mittelständische Wirtschaft Unternehmerverband Deutschlands e.V.|Potsdamer Straße 7 | Potsdamer Platz|10785 Berlin|,dv-custumer-BVMW
1431,Rodeler LTD|Im Zollhafen 2-4|D-50678 Koeln|,RODELERL-1
1432,HafenRaum|Im Zollhafen 12|D-50678 Koeln|,HAFENRAUM-1
1433,inmation Software GmbH|Zollstockguertel 57|D-50969 Koeln|,INMATION-1
1434,Zero One Logic Ltd|,ZERO-ONE-LOGIC-LTD
1435,Zero One Logic Ltd|,ZERO-ONE-LOGIC-LTD
1436,Zero One Logic Ltd|,ZERO-ONE-LOGIC-LTD
1437,Instinctif Deutschland GmbH|Im Zollhafen 6|D-50678 Koeln|,INSTINCTIF-1
1438,Instinctif Deutschland GmbH|Im Zollhafen 6|D-50678 Koeln|,INSTINCTIF-1
1439,GDF SUEZ Energie Deutschland AG|,KRAFTWERK-ZOLLING-ZOLLING-NET
1440,Zollenspieker Faehrhaus|,ZOLLENSPIEKERFAEHRHAUS-HAMBURG-NET
1441,MEYTEC GmbH Informationssysteme|,ZOLLERNALB-KLINIKUM-ALBSTADT-NET
1442,Oberfinanzdirektion Koblenz|,ZOLLAMT-BADEN-BADEN-FLUGHAFEN-RHEINMUENSTER-NET
1443,Kerberos Compliance- Managementsysteme GmbH|Im Zollhafen 24|D-50678 Koeln|,KERBEROS-1
1444,Stiftung Deutsches Sport & Olympia Museum|Im Zollhafen 1|D-50678 Koeln|,SDSUOMUSEUM-1
1445,GDF SUEZ Energie Deutschland AG|,GDF-SUEZ-ENERGIE-DEUTSCHLAND-ZOLLING-NET
1446,Zollikofer GmbH & Co. KG|,ZOLLIKOFER-LEUTKIRCH-NET
1447,SW Zoll-Beratung GmbH|,SW-ZOLL-BERATUNG-WEES-NET
1449,TSI fuer Merckle GmbH|,ZOLLERN-SIGMARINGENDORF-NET
1451,Gracion Europe GmbH|Im Zollhafen 18|D-50678 Koeln|,GRACION-1
1458,Rheinfaktor Agentur für Kommunikation GmbH|Zollstockguertel 57|D-50969 Koeln|,RHEINFAKTOR-1
1459,ZOLL Medical Deutschland GmbH|,ZOLL-MEDICAL-DEUTSCHLAND-GMBH
1460,Wasser- u. Schiffahrtsamt Magdeburg|,EHEMALIGES-ZOLLGEBAEUDE-BAD-SCHANDAU-NET
1462,AZ Aussenwirtschafts-u. Zoll -Beratungsgesellschaft mbH|,AZ-AUSSENWIRTSCHAFT-ZOLL-BERATUNGSGES-ALBSTADT-NET
1465,Roedl & Partner GmbH|Im Zollhafen 18|D-50678 Koeln|,RDLPART-1
1466,Bahnbetriebe Blumberg GmbH & Co.KG|,BAHNHOF-ZOLLHAUS-BLUMBERG-NET
1471,Arbeiterwohlfahrt Bezirksverband Baden e.V.|,AWO-SENIORENZENTRUM-AM-ZOLLHOF-FREIBURG-NET
1472,Borris Hennecke Kneisel PartmbB Rechtsanwaelte|Im Zollhafen 6|D-50678 Koeln|,BORRISHE-1
1474,Markilux Showroom Koeln|Im Zollhafen 18|D-50678 Koeln|,MARKILUX-1
1476,ConVista Consulting AG|Im Zollhafen 15-17|D-50678 Koeln|,CONVISTA-1
1477,Sebastian Zoller|,SEBASTIAN-ZOLLER
1478,rhein-kontor GmbH|Im Zollhafen 24|D-50678 Koeln|,RHEIN-KO-1
1479,Oberfinanzdirektion Koblenz|,ZOLLAMT-POTSDAM-NET
1480,Formitas Gesellschaft fuer luK-Technologie mbH|Im Zollhafen 6|D-50678 Koeln|,FORMITAS-1
1481,NAVAX GmbH|Im Zollhafen 24|D-50678 Koeln|,NAVAXGMB-1
1485,moneymeets GmbH|Im Zollhafen 22|D-50678 Koeln|,MONEYMEE-1
1486,Lebenshilfe fuer Behinderte Zollernalb|,LEBENSHILFEFUERBEHINDERTEZOLLERNALB-ALBSTADT-NET
1487,Oberfinanzdirektion Koblenz|,ZOLLAMT-FREIBURG-IM-BREISGAU-NET
1488,Oberfinanzdirektion Koblenz|,ZOLLAMT-DRESDEN-NET
1491,BFS Betriebs- und Finanz- wirtschaftlicher Service GmbH|Im Zollhafen 5|D-50678 Koeln|,BFSBETRI-1
1492,Stiftung Deutsches Sport & Olympia Museum|Im Zollhafen 1|50678 Koeln|,STIFTUNG-1
1493,Max Bahr Holzhandlung GmbH & Co KG  Zentrale|Wandsbeker Zollstr. 91|D-22041 Hamburg|,MAXBAHR-HAMBURG-NET
1494,Max Bahr Holzhandlung GmbH & Co KG  Zentrale|Wandsbeker Zollstr. 91|D-22041 Hamburg|,MAXBAHR-HAMBURG-NET
1495,EC Harris|Zollhof 13|D-40221 Duesseldorf|,EC-HARRIS-NET
1496,MeridianSpa GmbH|Wandsbeker Zollstr 87-89|22041|Hamburg|,MERIDIANSPA-HAMBURG-NET
1498,BoSt intercative GmbH|Zollstockguertel 5|D-50969 Koeln|Germany|,BOST-LAN
1499,Ernst Binder GmbH|Zollamtstr. 7|D-67663 Kaiserslautern|Germany|,EBINDER-LAN1
1500,fa. castenow &amp; partner|Neuer Zollhof 3|40221 Duesseldorf|,CASTENOW-NET
1501,Electronic Arts GmbH|Im Zollhafen 15- 17|50678 Koeln|,VT-CUSTOMER-S-6504855
1502,Anker Teppichboden Gebr. Schoeller|Zollhausstr. 112|D-52353 Dueren|GERMANY|,ANKER-NET
1503,ComS.I.T.|,COMSIT-ZOLLING-NET
1504,M.I.T e-Solutions GmbH|Am Zollstock 1|D-61381 Friedrichsdorf|GERMANY|,MITIB-NET
1505,Lebenshilfe fuer Behinderte Zollernalb|,LEBENSHILFEFUERBEHINDERTEZOLLERNALB-ALBSTADT-NET
1506,SW Zoll-Beratung  GmbH|Am Lagerplatz 8|D-93437 Furth|,ENX-SWZOLLBERATUNG
1507,Zollcon GmbH|Hans-Vogel-Str. 35|D-90765 Nuernberg|,ZOLLCON-NET
1508,ZOBA Zollberatung und -abwicklung GmbH|Am Brill 1-3|D-28195 Bremen|,ZOBA-BREMEN-NET
1509,Ab Ovo Deutschland GmbH|Zollstockguertel 57|D-50969 Koeln|GERMANY|,AODG-NET
1510,OMS Vermarktungs GmbH & Co KG|Zollhof 4|D-40221 Duesseldorf|GERMANY|,OMSV-NET
1511,Intelicom GmbH|Neuer Zollhof 3|40213 Duesseldorf|,INTELICOM
1512,Intelicom GmbH|Neuer Zollhof 3|40213 Duesseldorf|,INTELICOM
1513,Intelicom GmbH|Neuer Zollhof 3|40213 Duesseldorf|,INTELICOM
1514,Intelicom GmbH|Neuer Zollhof 3|40213 Duesseldorf|,INTELICOM
1515,Intelicom GmbH|Neuer Zollhof 3|40213 Duesseldorf|,INTELICOM
1516,Intelicom GmbH|Neuer Zollhof 3|40213 Duesseldorf|,INTELICOM
1517,Intelicom GmbH|Neuer Zollhof 3|40213 Duesseldorf|,INTELICOM
1518,Intelicom GmbH|Neuer Zollhof 3|40213 Duesseldorf|,INTELICOM
1519,Intelicom GmbH|Neuer Zollhof 3|40213 Duesseldorf|,INTELICOM
1520,Intelicom GmbH|Neuer Zollhof 3|40213 Duesseldorf|,INTELICOM
1521,Intelicom GmbH|Neuer Zollhof 3|40213 Duesseldorf|,INTELICOM
1526,Intelicom GmbH|Neuer Zollhof 3|40213 Duesseldorf|,INTELICOM
1527,Intelicom GmbH|Neuer Zollhof 3|40213 Duesseldorf|,INTELICOM
1529,Intelicom GmbH|Neuer Zollhof 3|40213 Duesseldorf|,INTELICOM
1533,Vasata Schroeder Werbeagentur GmbH Buero Duesseldorf|Zollhof 11|40221|Duesseldorf|,VASATA-DUS2-NET
1534,IG-Douane Zoll90|,IG-DOUANE-ZOLL90-WEIL-AM-RHEIN-NET
1535,C. Gielisch GmbH|Neuer Zollhof 1|40221 Duesseldorf|Germany|,GIELISCH-NET
1537,Max Bahr Holzhandlung GmbH & Co KG Zentrale|Wandsbeker Zollstrasse 91|22041|Hamburg|,MAXBAHR-HAMBURG-NET
1538,Unternehmensgruppe Theo Mueller GmbH & Co. KG|Zollerstrasse 7|86850 Fischach|FON: +49 8236 999 0|,TheoMueller_NET
1539,Unternehmensgruppe Theo Mueller GmbH & Co. KG|Zollerstrasse 7|86850 Fischach|FON: +49 8236 999 0|,TheoMueller_NET
1543,Zollner Elektronik AG|Industriestr. 2-4|D-93499 Zandt|,ENX-ZOLLNER
1544,Research & Consulting GmbH|Zollhof 13|D-40221 Duesseldorf|GERMANY|,RESEARCH-NET
1545,Meridian Leisure Group|Wandsbeker Zollstr. 87-89|D-22041 Hamburg|,MERIDIAN3-HAMBURG-NET
1546,Zoller & Froehlich GmbH|,ZOLLER-U-FROEH-WANGEN-NET
1547,ecoX Software und Systeme GmbH|Alter Zollweg 94|D-22147 Hamburg|,ECOX-HAMBURG-NET
1548,Meridian Leisure Group|Wandsbeker Zollstr. 87-89|D-22041 Hamburg|,MERIDIAN-HAMBURG-NET
1549,Meridian Leisure Group|Wandsbeker Zollstr. 87-89|D-22041 Hamburg|,MERIDIAN2-HAMBURG-NET
1550,net mobile AG|Zollhof 17|40221 Duesseldorf|,VT-CUSTOMER-G-0104863
1551,XOVI GmbH|im Zollhafen 18|50678 Köln|,XOVI-NET
1552,XOVI GmbH|im Zollhafen 18|50678 Köln|,XOVI-NET
1553,XOVI GmbH|im Zollhafen 18|50678 Köln|,XOVI-NET
1554,XOVI GmbH|im Zollhafen 18|50678 Köln|,XOVI-NET
1555,XOVI GmbH|im Zollhafen 18|50678 Köln|,XOVI-NET
1556,XOVI GmbH|im Zollhafen 18|50678 Köln|,XOVI-NET
1557,XOVI GmbH|im Zollhafen 18|50678 Köln|,XOVI-NET
1558,Excellent Business Centers GmbH|Im Zollhafen 2|D-50678 Koeln|,ExcellentBusinessCentersGmbH-DCA
1564,ComS.I.T. AG|,COMSIT-ZOLLING
1569,Import Partner Intern. Zollspedition GmbH|,IMPORT-PARTNER-GMBH-GRENZUEBERGANG-FRANKFURT-ODER-NET
1570,Import Partner Intern. Zollspedition GmbH|,IMPORT-PARTNER-HAMBURG-NET
1571,WZC Wagenladungs und Zolldeclarations|Comptoir Riemann GmbH and Co. KG|,NET-DE-WZC-WAGENLADUNGS-UND-ZOLLDECLARATIONS
1572,Bene GmbH|Zollhof 4|D-40221 Düsseldorf|Germany|,BENGMB-NET
1573,TSI fuer Landwirtschaftl. Versicherungsverein Muenster|,LVM-HOMEOFFICE-EUGEN-ZOLLER-BAD-UEBERKINGEN-NET
1574,AZ Aussenwirtschafts-u. Zoll -Beratungsgesellschaft mbH|,AZ-AUSSENWIRTSCHAFT-ZOLL-BERATUNGSGES-ALBSTADT-NET
1575,E. Zoller GmbH & Co. KG|Gottlieb-Daimler-Str. 19|D-74385 Pleidelsheim|GERMANY|,ZOLLER-NET
1581,Tarifcheck24 GmbH|Zollstr. 11b|21465 Wentorf bei Hamburg|,TARIFCHECK-NET
1582,ConVista Consulting AG|Im Zollhafen 15-17|D-50678 Koeln|,CONVISTA-1
1583,SPECTRO software  GmbH|Floez-Zollverein-Str. 5|D-59368 Werne|Germany|,spectro-NET
1584,net mobile AG|Zollhof 17|40221 Duesseldorf|,VT-CUSTOMER-G-0104863
1585,Janich & Klass Computer GmbH|Zum Alten Zollhaus 24|D-42281 Wuppertal|,Janich-Klass-Net
1587,ZOLLERN GmbH & Co. KG|,ZOLLERN
1591,Zollernalb Klinikum gGmbH|Tuebinger Strasse 20 /3|72336 Balingen|,VT-CUSTOMER-S-8722176
1592,almoe Medienagentur GmbH|Zollstockguertel 67|50969 Koeln|,DE-HE-ALMOE
1593,C. Gielisch GmbH|Neuer Zollhof 1|40221 Duesseldorf|Germany|,GIELISCH-NET
1594,Dr. W. Andres & J. Schneider|Neuer Zollhof 3|40221 Duesseldorf|Germany|,WAJS-NET
1595,Krups Consultants GmbH|Neuer Zollhof 3|40221 Duesseldorf|,KRUPS-NET
1596,WIRKSTOFFGRUPPE GmbH|Am Zollstock 11|57439 Attendorn|,DE-HE-WIRKSTOFF
1597,one4one Services GmbH|Neuer Zollhof 3|40221 Duesseldorf|,VT-CUSTOMER-G-0106898
1598,Electronic Arts GmbH|Im Zollhafen 17 bis 19|50678 Koeln|,VT-CUSTOMER-W-6684829
1599,one4one Services GmbH|Neuer Zollhof 3|40221 Duesseldorf|,VT-CUSTOMER-G-0106898
1600,ComNet GmbH|Zollstockguertel 57|D-50969 Koeln|GERMANY|,COMNETGM-NET
1601,ComS.I.T. AG|,COMS-IT--ZOLLING-NET
1602,ZOLLNER AG-ZANDT-NET-02|,ZOLLNER-ELEKTRONIK-ZANDT-NET
1605,XOVI GmbH|im Zollhafen 18|50678 Köln|,XOVI-NET
1606,XOVI GmbH|im Zollhafen 18|50678 Köln|,XOVI-NET
1607,XOVI GmbH|im Zollhafen 18|50678 Köln|,XOVI-NET
1608,XOVI GmbH|im Zollhafen 18|50678 Köln|,XOVI-NET
1610,XOVI GmbH|im Zollhafen 18|50678 Köln|,XOVI-NET
1611,m-p flash Zolldeklarations- &Airportservice head office B|,M-P-FLASH-HEAD-OFFICE-B-SCHOENEFELD-NET
1612,Zollfahndungsamt Stuttgart|,ZOLLFAHNDUNGSAMT-STUTTGART-KARLSRUHE-NET
1613,MEYTEC GmbH Informationssysteme|,ZOLLERNALB-KLINIKUM-ALBSTADT-NET
1614,Oberfinanzdirektion Koblenz|,ZOLLAMT-POTSDAM-NET
1615,Oberfinanzdirektion Koblenz|,ZOLLAMT-BADEN-BADEN-FLUGHAFEN-RHEINMUENSTER-NET
1616,Oberfinanzdirektion Koblenz|,ZOLLFAHNDUNGSAMT-FRANKFURT-NET
1617,Zollenspieker Faehrhaus GmbH|,QSC-CUSTOMER-5942832-665876
1618,Innofact Aktiengesellschaft|Neuer Zollhof 3|40221 Duesseldorf|,Innofact_NET
1619,Innofact Aktiengesellschaft|Neuer Zollhof 3|40221 Duesseldorf|,Innofact_NET
1620,Wirsing Hass Zoller Rechtsanwaelte mbB|,QSC-CUSTOMER-6798863-1026795
1621,"Lk Reutlingen, Zollernalbkreis Vlan 810|",NeckarCom1
1622,TSI fuer Merckle GmbH|,ZOLLERN-SIGMARINGENDORF-NET2
1623,Zollfahndungsamt Hannover|,ZOLLFAHNDUNGSAMT-HANNOVER-DS-MAGDEBURG-NET
1624,Zollikofer GmbH & Co. KG|,ZOLLIKOFER-LEUTKIRCH-NET
1625,Zollenspieker Faehrhaus|,ZOLLENSPIEKERFAEHRHAUS-HAMBURG-NET
1627,GDF SUEZ Energie Deutschland AG|,KRAFTWERK-ZOLLING-ZOLLING-NET
1628,GDF SUEZ Energie Deutschland AG|,KRAFTWERK-ZOLLING-HALLBERGMOOS-NET
1629,GDF SUEZ Energie Deutschland AG|,KRAFTWERK-ZOLLING-FREISING-NET
1630,GDF SUEZ Energie Deutschland AG|,KRAFTWERK-ZOLLING-FREISING-NET2
1631,Marland GmbH|Zollenreuter Str. 6|D-88326 Aulendorf|Germany|,MARLAND-NET
1632,Zollernalb Klinikum Accessnetwork|,DE-ACCESS-ZOLLERNALB-NET
1633,Architektenkammer NRW|Zollhof 1|D-40221 Duesseldorf|GERMANY|,AKNRW-NET
1634,Versicherungsbuero Zollner|,ratzin-1-haibac
1635,Zollikofer GmbH & Co. KG|,ZOLLIKOFER-KEHL-NET
1637,Marken-Getraenke Grundke & Zollweger UG & Co.KG.|Alte Ziegelei 31|D- 03099 Kolkwitz OT Haehnchen|,Getraenke_Grundke-LAN
1639,"IMPORT PARTNER Internationale Zollspedition GmbH|Ratzeburg, Germany|",IMPORT-PARTNER-NET
1640,"Eberhard-Karls-Universitaet|Tuebingen, Germany|",Freudenstadt-Zollernblick
1650,XOVI GmbH|im Zollhafen 18|50678 Köln|,XOVI-NET
1663,Bildagentur Zolles|,NET-DE-BILDAGENTUR-ZOLLES
1665,Tarifcheck 24 AG|Zollstr. 11b|21465 Wentorf|,TARIFCHECK24-NET
1666,plug and work GmbH|,PLUGANDWORK-NEUER-ZOLLHOF-BC-NET
1667,Oberfinanzdirektion Koblenz|,ZOLLFAHNDUNGSAMT-FRANKFURT-NET
1669,plug and work GmbH|,PLUGANDWORK-NEUER-ZOLLHOF-BC-DUESSELDORF-NET
1671,Wirsing Hass Zoller Rechtsanwaelte mbB|,QSC-CUSTOMER-6798863-995436
1672,Wirsing Hass Zoller Rechtsanwaelte mbB|,QSC-CUSTOMER-6798863-995436
1673,ZOLL Medical Deutschland GmbH|,ZOLL-MEDICAL-KOELN-NET
1674,ZOLL Medical Deutschland GmbH|,ZOLL-MEDICAL-KOELN-NET
1675,Oberfinanzdirektion Koblenz|,ZOLLAMT-NUERNBERG-NET
1676,Oberfinanzdirektion Koblenz|,ZOLLAMT-FREIBURG-IM-BREISGAU-NET
1678,Oberfinanzdirektion Koblenz|,ZOLLAMT-OFFENBACH-AM-MAIN-NET
1679,Oberfinanzdirektion Koblenz|,ZOLLAMT-DRESDEN-NET
1680,Klauke GmbH & Co. KG|Zollhausstr.40|58640 Iserlohn|GERMANY|,KLAUKE-NET
1681,zollernalb-data GmbH|Wasserwiesen 37|D-72336 Balingen|Germany|,PPP-STATIC-NET
1690,zollernalb-data GmbH|Wasserwiesen 37|D-72336 Balingen|Germany|,PPP-POOL2-NET
1692,zollernalb-data GmbH|Wasserwiesen 37|D-72336 Balingen|Germany|,DOCSIS-DHCP-POOL-NET
1693,zollernalb-data GmbH|Wasserwiesen 37|D-72336 Balingen|Germany|,DOCSIS-DHCP-POOL-NET
1697,ASK Industries GmbH|,ZOLLNER-ELEKTRONIK-ZANDT-NET
2696,"Julius-Kühn-Institut, 76833 Siebeldingen|",DE-JULIUSKUEHN-NET1
2982,Hosting|,DSU-NET
2983,,BA-PI-V6-NET
2984,,BA-PI-NET
2985,,DE-DOLPHINIT-20160223
2986,MV|,DE-GOV-MV-20130221
2988,,KBV-NET
2989,,DE-KBV-20090313
2990,,NET-DE-BNETZA
3055,,DE-TNEG-20050602
3056,XOVI GmbH|im Zollhafen 18|50678 Köln|,XOVI-NET
3070,,BPA-6NET
3071,,BPA-NET
3072,OVH Static IP|,OVH_70832074
3073,OVH Static IP|,OVH_71421415
3075,ITZBund|,ITZBund-DC3
3076,ITZBund|,ITZBund-DC1
3077,ITZBund|,ITZBund-DC2
